External ID,Sl no,Debit Acc,DEBIT ACC ID/BANK ACC ID,Credit Account,CREDIT ACC ID,Days,Customer,Entity Internal ID,Date,Advance Ref#,Debit Amt,Credit Amt,Memo,Description
CUST_DEPOSIT-10024,24.5,A10003,616,20020,616,386,"Ascent Hospitality Courtyard - Meridian, MS",2670,03/03/2025,SO# 38710,3040,,Customer Deposits,773
CUST_DEPOSIT-10025,25,A21001,968,20020,,740,Ascent Hospitality Element Carmel Indiana,3314,03/14/2024,SO# 35819,,1100,Customer Deposits,35829
CUST_DEPOSIT-10025,25.5,A10003,616,20020,616,740,Ascent Hospitality Element Carmel Indiana,3314,03/14/2024,SO# 35819,1100,,Customer Deposits,35829
CUST_DEPOSIT-10026,26,A21001,968,20020,,602,Ascent Hospitality Element Carmel Indiana,3314,07/30/2024,,,39615.37,Customer Deposits,
CUST_DEPOSIT-10026,26.5,A10003,616,20020,616,602,Ascent Hospitality Element Carmel Indiana,3314,07/30/2024,,39615.37,,Customer Deposits,
CUST_DEPOSIT-10027,27,A21001,968,20020,,277,Ascent Hospitality Management Co,459,06/20/2025,SO# 39011,,641721,Customer Deposits,
CUST_DEPOSIT-10027,27.5,A10003,616,20020,616,277,Ascent Hospitality Management Co,459,06/20/2025,SO# 39011,641721,,Customer Deposits,
CUST_DEPOSIT-10028,28,A21001,968,20020,,356,Ascent Hospitality Management Co,459,04/02/2025,SO# 38878,,750000,Customer Deposits,
CUST_DEPOSIT-10028,28.5,A10003,616,20020,616,356,Ascent Hospitality Management Co,459,04/02/2025,SO# 38878,750000,,Customer Deposits,
CUST_DEPOSIT-10029,29,A21001,968,20020,,340,Ascent Hospitality Management Co,459,04/18/2025,SO# 38879,,940883.04,Customer Deposits,
CUST_DEPOSIT-10029,29.5,A10003,616,20020,616,340,Ascent Hospitality Management Co,459,04/18/2025,SO# 38879,940883.04,,Customer Deposits,
