External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-37683/9,31.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37683/9,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,1750.49
AUGCOGS-37688/3,32,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37688/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,12495.01,
AUGCOGS-37688/3,32.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37688/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,12495.01
AUGCOGS-37690/2,33,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37690/2,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,25083.95,
AUGCOGS-37690/2,33.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37690/2,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,25083.95
AUGCOGS-37697/4,34,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37697/4,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,136.87,
AUGCOGS-37697/4,34.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37697/4,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,136.87
AUGCOGS-37698/3,35,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37698/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,2454.74,
AUGCOGS-37698/3,35.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37698/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,2454.74
AUGCOGS-38331,43,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,"Residence Inn Pearland, TX",2466,38331,"Residence Inn Pearland, TX - Aug  material cost transferred from sps",4247.36,
AUGCOGS-38331,43.5,,953,A12001 - Inventory (New),08/12/2025,"Residence Inn Pearland, TX",2466,38331,"Residence Inn Pearland, TX - Aug  material cost transferred from sps",,4247.36
AUGCOGS-33948/4,45,A50001 - Cost Of Goods Sold (New),977,,08/13/2025,LA QUINTA ORLANDO,2678,33948/4,LA QUINTA ORLANDO - Aug  material cost transferred from sps,30.74,
AUGCOGS-33948/4,45.5,,953,A12001 - Inventory (New),08/13/2025,LA QUINTA ORLANDO,2678,33948/4,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,30.74
AUGCOGS-33951/5,46,A50001 - Cost Of Goods Sold (New),977,,08/13/2025,LA QUINTA ORLANDO,2678,33951/5,LA QUINTA ORLANDO - Aug  material cost transferred from sps,240.54,
AUGCOGS-33951/5,46.5,,953,A12001 - Inventory (New),08/13/2025,LA QUINTA ORLANDO,2678,33951/5,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,240.54
AUGCOGS-37685/5,47,A50001 - Cost Of Goods Sold (New),977,,08/13/2025,Ascent Residence inn Montgomery,3320,37685/5,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,716.95,
AUGCOGS-37685/5,47.5,,953,A12001 - Inventory (New),08/13/2025,Ascent Residence inn Montgomery,3320,37685/5,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,716.95
AUGCOGS-38204/2,48,A50001 - Cost Of Goods Sold (New),977,,08/13/2025,LQ Hawthorne Leavenworth,3412,38204/2,LQ Hawthorne Leavenworth - Aug  material cost transferred from sps,4807.85,
AUGCOGS-38204/2,48.5,,953,A12001 - Inventory (New),08/13/2025,LQ Hawthorne Leavenworth,3412,38204/2,LQ Hawthorne Leavenworth - Aug  material cost transferred from sps,,4807.85
AUGCOGS-38857,49,A50001 - Cost Of Goods Sold (New),977,,08/18/2025,"White River Flooring, Inc.",2553,38857,"White River Flooring, Inc. - Aug  material cost transferred from sps",8947.15,
AUGCOGS-38857,49.5,,953,A12001 - Inventory (New),08/18/2025,"White River Flooring, Inc.",2553,38857,"White River Flooring, Inc. - Aug  material cost transferred from sps",,8947.15
AUGCOGS-35795/2,50,A50001 - Cost Of Goods Sold (New),977,,08/21/2025,Fairfield Townplace East Hartford,3335,35795/2,Fairfield Townplace East Hartford - Aug  material cost transferred from sps,33567.36,
AUGCOGS-35795/2,50.5,,953,A12001 - Inventory (New),08/21/2025,Fairfield Townplace East Hartford,3335,35795/2,Fairfield Townplace East Hartford - Aug  material cost transferred from sps,,33567.36
AUGCOGS-38403/5,51,A50001 - Cost Of Goods Sold (New),977,,08/23/2025,Auburn Hospitality Group,1548,38403/5,Auburn Hospitality Group - Aug  material cost transferred from sps,34804.40,
AUGCOGS-38403/5,51.5,,953,A12001 - Inventory (New),08/23/2025,Auburn Hospitality Group,1548,38403/5,Auburn Hospitality Group - Aug  material cost transferred from sps,,34804.40
AUGCOGS-33565/11,52,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33565/11,LA QUINTA ORLANDO - Aug  material cost transferred from sps,5718.97,
AUGCOGS-33565/11,52.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33565/11,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,5718.97
AUGCOGS-33565/12,53,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33565/12,LA QUINTA ORLANDO - Aug  material cost transferred from sps,4424.85,
AUGCOGS-33565/12,53.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33565/12,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,4424.85
AUGCOGS-33566/7,54,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33566/7,LA QUINTA ORLANDO - Aug  material cost transferred from sps,200.40,
AUGCOGS-33566/7,54.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33566/7,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,200.40
AUGCOGS-33566/9,55,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33566/9,LA QUINTA ORLANDO - Aug  material cost transferred from sps,442.60,
AUGCOGS-33566/9,55.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33566/9,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,442.60
AUGCOGS-33569/4,56,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33569/4,LA QUINTA ORLANDO - Aug  material cost transferred from sps,21347.89,
AUGCOGS-33569/4,56.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33569/4,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,21347.89
AUGCOGS-33569/5,57,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33569/5,LA QUINTA ORLANDO - Aug  material cost transferred from sps,35534.57,
AUGCOGS-33569/5,57.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33569/5,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,35534.57
AUGCOGS-33571,58,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33571,LA QUINTA ORLANDO - Aug  material cost transferred from sps,1368.69,
AUGCOGS-33571,58.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33571,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,1368.69
AUGCOGS-33575/6,59,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33575/6,LA QUINTA ORLANDO - Aug  material cost transferred from sps,46390.27,
AUGCOGS-33575/6,59.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33575/6,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,46390.27
AUGCOGS-33945/4,60,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33945/4,LA QUINTA ORLANDO - Aug  material cost transferred from sps,736.03,
AUGCOGS-33945/4,60.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33945/4,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,736.03
AUGCOGS-33946/3,61,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33946/3,LA QUINTA ORLANDO - Aug  material cost transferred from sps,15799.10,
AUGCOGS-33946/3,61.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33946/3,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,15799.10
AUGCOGS-33948/5,62,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33948/5,LA QUINTA ORLANDO - Aug  material cost transferred from sps,3652.14,
AUGCOGS-33948/5,62.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33948/5,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,3652.14
AUGCOGS-33950,63,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33950,LA QUINTA ORLANDO - Aug  material cost transferred from sps,492.94,
AUGCOGS-33950,63.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33950,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,492.94
AUGCOGS-33950/2,64,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33950/2,LA QUINTA ORLANDO - Aug  material cost transferred from sps,93.02,
AUGCOGS-33950/2,64.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33950/2,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,93.02
AUGCOGS-33950/8,65,A50001 - Cost Of Goods Sold (New),977,,08/25/2025,LA QUINTA ORLANDO,2678,33950/8,LA QUINTA ORLANDO - Aug  material cost transferred from sps,455.18,
AUGCOGS-33950/8,65.5,,953,A12001 - Inventory (New),08/25/2025,LA QUINTA ORLANDO,2678,33950/8,LA QUINTA ORLANDO - Aug  material cost transferred from sps,,455.18
