External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-32981/4,110.5,,953,A12001 - Inventory (New),08/30/2025,LAQUINTA YUMA AZ,3531,32981/4,LAQUINTA YUMA AZ - Aug  material cost transferred from sps,,1325.98
AUGCOGS-32983/14,111,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,LAQUINTA YUMA AZ,3531,32983/14,LAQUINTA YUMA AZ - Aug  material cost transferred from sps,80.23,
AUGCOGS-32983/14,111.5,,953,A12001 - Inventory (New),08/30/2025,LAQUINTA YUMA AZ,3531,32983/14,LAQUINTA YUMA AZ - Aug  material cost transferred from sps,,80.23
AUGCOGS-33025/7,112,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"Courtyard Navy Yard, Philadelphia",3532,33025/7,"Courtyard Navy Yard, Philadelphia - Aug  material cost transferred from sps",942.76,
AUGCOGS-33025/7,112.5,,953,A12001 - Inventory (New),08/30/2025,"Courtyard Navy Yard, Philadelphia",3532,33025/7,"Courtyard Navy Yard, Philadelphia - Aug  material cost transferred from sps",,942.76
AUGCOGS-33025/8,113,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"Courtyard Navy Yard, Philadelphia",3532,33025/8,"Courtyard Navy Yard, Philadelphia - Aug  material cost transferred from sps",6697.87,
AUGCOGS-33025/8,113.5,,953,A12001 - Inventory (New),08/30/2025,"Courtyard Navy Yard, Philadelphia",3532,33025/8,"Courtyard Navy Yard, Philadelphia - Aug  material cost transferred from sps",,6697.87
AUGCOGS-33390/3,125,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,CORNER STONE FLOORING COMPANIES,3533,33390/3,CORNER STONE FLOORING COMPANIES - Aug  material cost transferred from sps,279.53,
AUGCOGS-33390/3,125.5,,953,A12001 - Inventory (New),08/30/2025,CORNER STONE FLOORING COMPANIES,3533,33390/3,CORNER STONE FLOORING COMPANIES - Aug  material cost transferred from sps,,279.53
AUGCOGS-33472/12,126,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,La Quinta -Madison WI -Savan Patel,3534,33472/12,La Quinta -Madison WI -Savan Patel - Aug  material cost transferred from sps,23.89,
AUGCOGS-33472/12,126.5,,953,A12001 - Inventory (New),08/30/2025,La Quinta -Madison WI -Savan Patel,3534,33472/12,La Quinta -Madison WI -Savan Patel - Aug  material cost transferred from sps,,23.89
AUGCOGS-33478/9,127,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,La Quinta -Madison WI -Savan Patel,3534,33478/9,La Quinta -Madison WI -Savan Patel - Aug  material cost transferred from sps,222.58,
AUGCOGS-33478/9,127.5,,953,A12001 - Inventory (New),08/30/2025,La Quinta -Madison WI -Savan Patel,3534,33478/9,La Quinta -Madison WI -Savan Patel - Aug  material cost transferred from sps,,222.58
AUGCOGS-33539/10,129,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,La Quinta Inn & Suites- Seatac Airport- Seattle WA,2328,33539/10,La Quinta Inn & Suites- Seatac Airport- Seattle WA - Aug  material cost transferred from sps,1716.66,
AUGCOGS-33539/10,129.5,,953,A12001 - Inventory (New),08/30/2025,La Quinta Inn & Suites- Seatac Airport- Seattle WA,2328,33539/10,La Quinta Inn & Suites- Seatac Airport- Seattle WA - Aug  material cost transferred from sps,,1716.66
AUGCOGS-33558/11,130,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,La Quinta Inn & Suites- Seatac Airport- Seattle WA,2328,33558/11,La Quinta Inn & Suites- Seatac Airport- Seattle WA - Aug  material cost transferred from sps,588.00,
AUGCOGS-33558/11,130.5,,953,A12001 - Inventory (New),08/30/2025,La Quinta Inn & Suites- Seatac Airport- Seattle WA,2328,33558/11,La Quinta Inn & Suites- Seatac Airport- Seattle WA - Aug  material cost transferred from sps,,588.00
AUGCOGS-33560/4,131,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,La Quinta Inn & Suites- Seatac Airport- Seattle WA,2328,33560/4,La Quinta Inn & Suites- Seatac Airport- Seattle WA - Aug  material cost transferred from sps,80.75,
AUGCOGS-33560/4,131.5,,953,A12001 - Inventory (New),08/30/2025,La Quinta Inn & Suites- Seatac Airport- Seattle WA,2328,33560/4,La Quinta Inn & Suites- Seatac Airport- Seattle WA - Aug  material cost transferred from sps,,80.75
