Invoice #,Customer,Invoice date,Amount
SR411-6,RICHWOOD HOSPITALITY CO LTD,05-31-2024,7685.4
"W-0710 $121,645.48",RICHWOOD HOSPITALITY CO LTD,07-10-2024,-6064.03
"SR262-04P,SR262-3",RICHWOOD HOSPITALITY CO LTD,10-13-2024,5724.48
PrePayment  - PO43955/SPS,RICHWOOD HOSPITALITY CO LTD,10-24-2024,-822.86
W-1030,RICHWOOD HOSPITALITY CO LTD,10-30-2024,-6209.82
W-1108,RICHWOOD HOSPITALITY CO LTD,11-08-2024,-15649.85
W-1118,RICHWOOD HOSPITALITY CO LTD,11-18-2024,-13308.42
41403,RICHWOOD HOSPITALITY CO LTD,12-16-2024,-10885.61
W-1219,RICHWOOD HOSPITALITY CO LTD,12-19-2024,-534
PrePayment  - PO1262/NetSuite,RICHWOOD HOSPITALITY CO LTD,12-31-2024,-3289.33
W-0108,RICHWOOD HOSPITALITY CO LTD,01-08-2025,-24479.56
W-0113,RICHWOOD HOSPITALITY CO LTD,01-13-2025,-7767.49
SR431,RICHWOOD HOSPITALITY CO LTD,01-19-2025,280
GV047,RICHWOOD HOSPITALITY CO LTD,01-22-2025,77.04
SR151-9,RICHWOOD HOSPITALITY CO LTD,01-22-2025,5074.37
W-0205,RICHWOOD HOSPITALITY CO LTD,02-05-2025,-6334.41
SR382-2P1,RICHWOOD HOSPITALITY CO LTD,02-22-2025,441.6
W-0307,RICHWOOD HOSPITALITY CO LTD,03-07-2025,-202669.7
W-0318,RICHWOOD HOSPITALITY CO LTD,03-18-2025,-21158.72
W-0320,RICHWOOD HOSPITALITY CO LTD,03-20-2025,-56281.49
"SR307-2,cntr3",RICHWOOD HOSPITALITY CO LTD,03-26-2025,730
"SR307-2,cntr4,5,6",RICHWOOD HOSPITALITY CO LTD,03-27-2025,4000
W-0407,RICHWOOD HOSPITALITY CO LTD,04-07-2025,-12376.54
"SR307-7,SR425",RICHWOOD HOSPITALITY CO LTD,04-09-2025,689
ocean freight cost SR411-14P2,RICHWOOD HOSPITALITY CO LTD,05-07-2025,446.52
"SR173-5C,SR173-5K,SR382-3",RICHWOOD HOSPITALITY CO LTD,05-10-2025,2600
SR307-2,RICHWOOD HOSPITALITY CO LTD,05-12-2025,10500
W-0514,RICHWOOD HOSPITALITY CO LTD,05-14-2025,-31608.03
SR173-5K,RICHWOOD HOSPITALITY CO LTD,05-18-2025,10400
SR407-13,RICHWOOD HOSPITALITY CO LTD,05-18-2025,3360.14
"GV048,cntr3",RICHWOOD HOSPITALITY CO LTD,05-23-2025,64.08
SR405-3P,RICHWOOD HOSPITALITY CO LTD,05-23-2025,924.86
W-0523,RICHWOOD HOSPITALITY CO LTD,05-23-2025,-72560.62
SR273-52,RICHWOOD HOSPITALITY CO LTD,05-28-2025,26507.29
W-0206,RICHWOOD HOSPITALITY CO LTD,06-02-2025,-2315
W-0618,RICHWOOD HOSPITALITY CO LTD,06-18-2025,-83018.27
SR273-35_2nd-1,RICHWOOD HOSPITALITY CO LTD,06-30-2025,5386.05
SR405-2,RICHWOOD HOSPITALITY CO LTD,06-30-2025,919.1
SR407-5,RICHWOOD HOSPITALITY CO LTD,06-30-2025,1323
SR411-5P2,RICHWOOD HOSPITALITY CO LTD,06-30-2025,90
999184577,Shaw Industries Inc.  Patcraft,04-29-2025,42908.51
999184610,Shaw Industries Inc.  Patcraft,04-30-2025,36626.66
999185188,Shaw Industries Inc.  Patcraft,05-14-2025,20833.87
W-0621,Shaw Industries Inc.  Patcraft,06-21-2025,-25755.06
999186726,Shaw Industries Inc.  Patcraft,06-26-2025,39437.82
999151243,Shaw Integrated Solutions,09-14-2023,5203.87
999184573,Shaw Integrated Solutions,04-29-2025,23854.8
999184575,Shaw Integrated Solutions,04-29-2025,7005.3
999185190,Shaw Integrated Solutions,05-14-2025,21384.86
W-1126,"Shenzhen Double Building Materials Co., Ltd.",11-26-2024,-8454
SI178092,SICIS THE ART FACTORY,05-15-2025,4783.11
N-1143438,Signature Flooring,06-30-2025,2020.39
3024504,Sponge Cushion Inc.,07-01-2023,502.31
PrePayment  - PO592/NetSuite,Sponge Cushion/L & p Financial Serv,04-07-2025,-862.7
1101363409,STG Logistics,11-01-2024,100
23012784,StonePeak Ceramics Inc-30593,03-22-2024,941.94
PrePayment  - PO43225/SPS,StonePeak Ceramics Inc-30593,06-16-2025,-8548.63
14298381,SUNTECK TRANSPORT,01-14-2025,5150
100000384743M,SUNTECK TRANSPORT,01-31-2025,68
14518920,SUNTECK TRANSPORT,03-19-2025,0.1
14544120,SUNTECK TRANSPORT,04-04-2025,668.5
PrePayment  - PO42793/SPS,Tarkett,04-03-2025,-1366.16
W-0423,Tarkett,04-23-2025,-325.91
27375,TM Leader Contract,07-17-2024,-676.2
PrePayment  - PO45776/NetSuite,TM Leader Contract,01-10-2025,-3083.08
Y21I1DWV-hotel,Truist Card Services,02-21-2025,1008.51
0614834-1,U.S. CUSTOMS AND BORDER PROTECTION,02-03-2025,217.3
0616589-9,U.S. CUSTOMS AND BORDER PROTECTION,02-10-2025,2051.66
0614835-8,U.S. CUSTOMS AND BORDER PROTECTION,02-13-2025,363.08
0614730-1,U.S. CUSTOMS AND BORDER PROTECTION,02-14-2025,0.27
0587014-8,U.S. CUSTOMS AND BORDER PROTECTION,02-25-2025,130.95
0587016-3,U.S. CUSTOMS AND BORDER PROTECTION,02-28-2025,135.34
0587015-5,U.S. CUSTOMS AND BORDER PROTECTION,02-28-2025,279.7
0587023-9,U.S. CUSTOMS AND BORDER PROTECTION,03-07-2025,78.08
0616587-3,U.S. CUSTOMS AND BORDER PROTECTION,03-11-2025,3260.63
3/24/2025,U.S. CUSTOMS AND BORDER PROTECTION,03-24-2025,-5411.46
0587015-5 & 0587016-3,U.S. CUSTOMS AND BORDER PROTECTION,03-24-2025,-415.04
0618535-01,U.S. CUSTOMS AND BORDER PROTECTION,03-24-2025,-32.71
EKH-0898744-1,U.S. CUSTOMS AND BORDER PROTECTION,03-24-2025,-32.71
0587014-8 & 0587023-9,U.S. CUSTOMS AND BORDER PROTECTION,03-24-2025,-209.03
EKH-1006587-1,U.S. CUSTOMS AND BORDER PROTECTION,04-30-2025,2599.95
0624426-4,U.S. CUSTOMS AND BORDER PROTECTION,06-16-2025,9057.02
06/24/2025,U.S. CUSTOMS AND BORDER PROTECTION,06-24-2025,-48626.44
39753 - pi,U.S. Vinyl,08-01-2024,720.82
PrePayment  - PO60195/NetSuite,U.S. Vinyl Manufacturing,04-24-2025,-10595.3
PrePayment  - PO60028/NetSuite,U.S. Vinyl Manufacturing,06-18-2025,-10595.3
PrePayment  - PO60340/NetSuite,U.S. Vinyl Manufacturing,06-25-2025,-4881.37
188009241,Uline,01-16-2025,827.38
188009476,Uline,01-16-2025,767.5
188169574,Uline,01-21-2025,620.59
188248104,Uline,01-22-2025,767.5
194719434,Uline,06-27-2025,226.8
1343718,Uniik Design Solutions,03-17-2025,4309
1253518,Uniik Design Solutions,06-19-2025,5340
33048,"Unite Oak International,Inc.",06-30-2025,3220
142055,UNITED CARGO EXPRESS,01-01-2025,149.04
142361,UNITED CARGO EXPRESS,02-28-2025,1783.09
142500,UNITED CARGO EXPRESS,03-31-2025,858.52
142654,UNITED CARGO EXPRESS,04-30-2025,190.4
142812,UNITED CARGO EXPRESS,05-31-2025,106.56
142963,UNITED CARGO EXPRESS,06-30-2025,227.03
247514092,United Rentals,05-02-2025,927.45
SR411-9_4th,VEI MAY WOODEN APPLIANCES COMPANY LIMITED,07-29-2024,6064
5034680910,Wells Fargo Equipment Finance Manufacturer Services Group,06-06-2025,622.85
PrePayment  - PO60078/NetSuite,WILSONART LLC,06-25-2025,-1508.22
41279,"WOW USA, Inc.",03-24-2025,3171.3
W-0528,"WOW USA, Inc.",05-28-2025,-846.5
2062025,WRIGHT EXPRESS FINANCIAL SERVICES CORPORATION/Exxon,02-06-2025,243.34
33229323,WYNDHAM HOTELS & RESORTS INC,10-31-2024,5000
GV2024087-B,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",12-20-2024,0.45
GV2024066-D,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",04-17-2025,925.76
PrePayment ,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",05-02-2025,-18732.54
W-1105,YESENYE FURNITURE,11-05-2024,-3983
ZB202305011USA,ZBOM Cabinets Crop.,04-01-2024,7592.08
ZB202304012USA,ZBOM Cabinets Crop.,04-10-2024,4224.98
ZB202406008USA,ZBOM Cabinets Crop.,08-26-2024,2255.2
"ZB202405009USA, ZB202407028USA,ZB202405043USA",ZBOM Cabinets Crop.,10-01-2024,2518.16
36106,ZBOM Cabinets Crop.,12-19-2024,-18000
ZB202405015USA,ZBOM Cabinets Crop.,01-01-2025,8650.52
W-0310,ZBOM Cabinets Crop.,03-10-2025,-6266.98
ZB202407028USA-1,ZBOM Cabinets Crop.,03-14-2025,3635
Do not know,ZBOM Cabinets Crop.,05-20-2025,-2232.3
ZB202503027USA,ZBOM Cabinets Crop.,06-03-2025,6368.57
Laxmi-0664,ZBOM Cabinets Crop.,06-05-2025,-3747.42
W-0627,ZBOM Cabinets Crop.,06-27-2025,-53156.57
ZB202406008USA-5,ZBOM Cabinets Crop.,06-30-2025,94586.14
ZB202410026USA,ZBOM Cabinets Crop.,06-30-2025,25748.92
