Invoice #,Customer,Invoice date,Amount
2023-FE-0000396,GIBAM SHOPS SPA,11-02-2023,105.42
"400, 402, 404, 406, 410",GIBAM SHOPS SPA,11-13-2023,21886.08
2023-FE-0000418,GIBAM SHOPS SPA,11-16-2023,464.73
2023-FE-0000420,GIBAM SHOPS SPA,11-16-2023,4017.52
"426,427,429, 431",GIBAM SHOPS SPA,11-24-2023,18493.66
"428, 430",GIBAM SHOPS SPA,11-24-2023,3012.03
2023-FE-0000434,GIBAM SHOPS SPA,11-29-2023,406.75
"365, 368, 370, 372, 460, 546",GIBAM SHOPS SPA,11-30-2023,39927.57
"366, 458, 547",GIBAM SHOPS SPA,11-30-2023,7652.58
"367, 369, 459, 461, 548",GIBAM SHOPS SPA,11-30-2023,8410.12
2023-FE-0000438,GIBAM SHOPS SPA,11-30-2023,1152.5
2023-FE-0000439,GIBAM SHOPS SPA,11-30-2023,2487.1
2023-FE-0000441,GIBAM SHOPS SPA,11-30-2023,11450.08
2023-FE-0000455,GIBAM SHOPS SPA,11-30-2023,696.59
2023-FE-0000456,GIBAM SHOPS SPA,11-30-2023,9825.87
2023-FE-0000457,GIBAM SHOPS SPA,11-30-2023,4505.11
"421, 440",GIBAM SHOPS SPA,11-30-2023,2580.3
"442, 475",GIBAM SHOPS SPA,11-30-2023,6708.68
"465, 466",GIBAM SHOPS SPA,12-05-2023,2367.23
2023-FE-0000474,GIBAM SHOPS SPA,12-14-2023,4874.12
"492, 488, 497, 501, 505",GIBAM SHOPS SPA,12-20-2023,28794.26
"489, 502, 506",GIBAM SHOPS SPA,12-20-2023,5824.31
"490, 493, 495, 503",GIBAM SHOPS SPA,12-20-2023,15220.37
"491, 494, 496, 504, 507",GIBAM SHOPS SPA,12-20-2023,9673.37
2023-FE-0000514,GIBAM SHOPS SPA,12-27-2023,2594.64
"511, 512, 517, 520",GIBAM SHOPS SPA,12-27-2023,37869.09
2023-FE-0000513,GIBAM SHOPS SPA,12-28-2023,1529.86
2023-FE-0000515,GIBAM SHOPS SPA,12-28-2023,9659.23
2023-FE-0000516,GIBAM SHOPS SPA,12-28-2023,1422.94
"518, 521",GIBAM SHOPS SPA,12-28-2023,6957.88
"522, 527, 537, 539",GIBAM SHOPS SPA,12-28-2023,5599.05
2023-FE-0000531,GIBAM SHOPS SPA,12-31-2023,4225.59
2023-FE-0000533,GIBAM SHOPS SPA,12-31-2023,1573.68
2023-FE-0000535,GIBAM SHOPS SPA,12-31-2023,3966.62
2023-FE-0000538,GIBAM SHOPS SPA,12-31-2023,14318.36
2023-FE-0000544,GIBAM SHOPS SPA,12-31-2023,21576.5
2023-FE-0000549,GIBAM SHOPS SPA,12-31-2023,296.84
2023-FE-0000553,GIBAM SHOPS SPA,12-31-2023,7368.88
"524, 525, 529, 532, 534",GIBAM SHOPS SPA,12-31-2023,25813.82
"530, 536",GIBAM SHOPS SPA,12-31-2023,568.76
"554, 555, 556, 557, 558, 559, 566",GIBAM SHOPS SPA,12-31-2023,48064.52
36065 - PI,GIBAM SHOPS SPA,01-01-2024,30910.47
2023-FE-0000392,GIBAM SHOPS SPA,01-01-2024,1425.18
2024-FE-0000001,GIBAM SHOPS SPA,01-11-2024,997.21
2024-FE-0000010,GIBAM SHOPS SPA,01-31-2024,778.75
"16, 17, 18, 19",GIBAM SHOPS SPA,02-15-2024,65859.13
2024-FE-0000025,GIBAM SHOPS SPA,02-22-2024,12002.19
"22, 23, 24, 26, 27",GIBAM SHOPS SPA,02-22-2024,72378.73
2024-FE-0000037,GIBAM SHOPS SPA,02-28-2024,17327.87
2024-FE-0000036,GIBAM SHOPS SPA,02-28-2024,854.09
2024-FE-0000035,GIBAM SHOPS SPA,02-28-2024,1265.6
2024-FE-0000038,GIBAM SHOPS SPA,02-28-2024,3526.96
"39, 40, 41, 50, 56",GIBAM SHOPS SPA,02-28-2024,61328.73
"2024-FE-0000052, 88",GIBAM SHOPS SPA,02-29-2024,9330.63
2024-FE-0000054,GIBAM SHOPS SPA,02-29-2024,1166.89
2024-FE-0000053,GIBAM SHOPS SPA,02-29-2024,581.54
2024-FE-0000058,GIBAM SHOPS SPA,03-01-2024,14947.4
"59, 66, 67, 68",GIBAM SHOPS SPA,03-01-2024,44105.01
2024-FE-0000062,GIBAM SHOPS SPA,03-04-2024,119.1
2024-FE-0000063,GIBAM SHOPS SPA,03-04-2024,109.35
2024-FE-0000069,GIBAM SHOPS SPA,03-08-2024,8243.17
"2024-FE-0000077,78",GIBAM SHOPS SPA,03-15-2024,52.59
2024-FE-0000074,GIBAM SHOPS SPA,03-15-2024,20216.38
2024-FE-0000075,GIBAM SHOPS SPA,03-15-2024,2765.95
"71, 73, 76,  79, 89, 90, 91",GIBAM SHOPS SPA,03-15-2024,100189.37
2024-FE-0000085,GIBAM SHOPS SPA,03-21-2024,212.86
2024-FE-0000084,GIBAM SHOPS SPA,03-21-2024,196.17
2024-FE-0000086,GIBAM SHOPS SPA,03-21-2024,210.84
2024-FE-0000082,GIBAM SHOPS SPA,03-21-2024,9027.12
2024-FE-0000083,GIBAM SHOPS SPA,03-21-2024,220
2024-FE-0000081,GIBAM SHOPS SPA,03-21-2024,244.03
"95, 96, 97",GIBAM SHOPS SPA,03-28-2024,46656.74
