External ID,S.no,Debit,Account ID,Debit Internal ID,Credit,Credit Internal ID,Date,Customer,Entity ID,Invoice#,Memo,Description,Debit AMT,Credit AMT
EXTERNAL - 25RT040202,176.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25RT040202,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,425.55
EXTERNAL - 25BL032501,177,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL032501,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,220.75,
EXTERNAL - 25BL032501,177.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25BL032501,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,220.75
EXTERNAL - 25JSF03200,178,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25JSF03200,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,168.62,
EXTERNAL - 25JSF03200,178.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25JSF03200,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,168.62
EXTERNAL - 25BL040401,179,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL040401,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,365.99,
EXTERNAL - 25BL040401,179.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25BL040401,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,365.99
EXTERNAL - 25JS040601,180,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25JS040601,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,467.27,
EXTERNAL - 25JS040601,180.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25JS040601,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,467.27
EXTERNAL - 25BL041601,181,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL041601,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,387.25,
EXTERNAL - 25BL041601,181.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25BL041601,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,387.25
EXTERNAL - 25BL040802,182,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL040802,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,430.15,
EXTERNAL - 25BL040802,182.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25BL040802,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,430.15
EXTERNAL - ZB202410026USA - AP,183,A51001 - Freight - Out - Expense (New),981,981,,,7/22/2025,ZBOM Cabinets Corp.,1297,ZB202410026USA - AP,ZBOM Cabinets Corp. - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,7849.50,
EXTERNAL - ZB202410026USA - AP,183.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/22/2025,ZBOM Cabinets Corp.,1297,ZB202410026USA - AP,ZBOM Cabinets Corp. - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,7849.50
EXTERNAL - ZB202410026USA - Inventory,184,A12001 - Inventory (New),953,953,,,7/22/2025,ZBOM Cabinets Corp.,1297,ZB202410026USA - Inventory,ZBOM Cabinets Corp. - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,487.50,
EXTERNAL - ZB202410026USA - Inventory,184.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,ZBOM Cabinets Corp.,1297,ZB202410026USA - Inventory,ZBOM Cabinets Corp. - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,487.50
EXTERNAL - 45839- AP,185,A51001 - Freight - Out - Expense (New),981,981,,,7/23/2025,"Jasfer Industry Co., Limited",137,45839- AP,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,287692.10,
EXTERNAL - 45839- AP,185.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/23/2025,"Jasfer Industry Co., Limited",137,45839- AP,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,287692.10
