Error,External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,serial/lot
Inventory items must have a positive amount.,NSOPENBALBILL819,#N/A,40391,cogs,PrePayment  - PO43955/SPS,25,1285,,RICHWOOD HOSPITALITY CO LTD,10/24/2024,-822.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20521,17,1860
Inventory items must have a positive amount.,NSOPENBALBILL820,#N/A,40391,cogs,W-1030,6,1285,,RICHWOOD HOSPITALITY CO LTD,10/30/2024,-6209.82,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20522,17,1861
Inventory items must have a positive amount.,NSOPENBALBILL821,#N/A,40391,cogs,W-1108,6,1285,,RICHWOOD HOSPITALITY CO LTD,11/08/2024,-15649.85,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20523,17,1862
Inventory items must have a positive amount.,NSOPENBALBILL822,#N/A,40391,cogs,W-1118,6,1285,,RICHWOOD HOSPITALITY CO LTD,11/18/2024,-13308.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20524,17,1863
Inventory items must have a positive amount.,NSOPENBALBILL823,#N/A,40391,cogs,41403,5,1285,,RICHWOOD HOSPITALITY CO LTD,12/16/2024,-10885.61,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20525,17,1864
Inventory items must have a positive amount.,NSOPENBALBILL824,#N/A,40391,cogs,W-1219,6,1285,,RICHWOOD HOSPITALITY CO LTD,12/19/2024,-534.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20526,17,1865
Inventory items must have a positive amount.,NSOPENBALBILL825,#N/A,40391,cogs,PrePayment  - PO1262/NetSuite,29,1285,,RICHWOOD HOSPITALITY CO LTD,12/31/2024,-3289.33,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20527,17,1866
Inventory items must have a positive amount.,NSOPENBALBILL826,#N/A,40391,cogs,W-0108,6,1285,,RICHWOOD HOSPITALITY CO LTD,01/08/2025,-24479.56,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20528,17,1867
Inventory items must have a positive amount.,NSOPENBALBILL827,#N/A,40391,cogs,W-0113,6,1285,,RICHWOOD HOSPITALITY CO LTD,01/13/2025,-7767.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20529,17,1868
Inventory items must have a positive amount.,NSOPENBALBILL831,#N/A,40391,cogs,W-0205,6,1285,,RICHWOOD HOSPITALITY CO LTD,02/05/2025,-6334.41,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20533,17,1869
Inventory items must have a positive amount.,NSOPENBALBILL833,#N/A,40391,cogs,W-0307,6,1285,,RICHWOOD HOSPITALITY CO LTD,03/07/2025,-202669.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20535,17,1870
Inventory items must have a positive amount.,NSOPENBALBILL834,#N/A,40391,cogs,W-0318,6,1285,,RICHWOOD HOSPITALITY CO LTD,03/18/2025,-21158.72,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20536,17,1871
Inventory items must have a positive amount.,NSOPENBALBILL835,#N/A,40391,cogs,W-0320,6,1285,,RICHWOOD HOSPITALITY CO LTD,03/20/2025,-56281.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20537,17,1872
Inventory items must have a positive amount.,NSOPENBALBILL838,#N/A,40391,cogs,W-0407,6,1285,,RICHWOOD HOSPITALITY CO LTD,04/07/2025,-12376.54,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20540,17,1873
Inventory items must have a positive amount.,NSOPENBALBILL843,#N/A,40391,cogs,W-0514,6,1285,,RICHWOOD HOSPITALITY CO LTD,05/14/2025,-31608.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20545,17,1876
Inventory items must have a positive amount.,NSOPENBALBILL848,#N/A,40391,cogs,W-0523,6,1285,,RICHWOOD HOSPITALITY CO LTD,05/23/2025,-72560.62,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20550,17,1877
Inventory items must have a positive amount.,NSOPENBALBILL850,#N/A,40391,cogs,W-0206,6,1285,,RICHWOOD HOSPITALITY CO LTD,06/02/2025,-2315.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20552,17,1878
Inventory items must have a positive amount.,NSOPENBALBILL851,#N/A,40391,cogs,W-0618,6,1285,,RICHWOOD HOSPITALITY CO LTD,06/18/2025,-83018.27,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20553,17,1879
Inventory items must have a positive amount.,NSOPENBALBILL859,#N/A,40391,cogs,W-0621,6,1964,,Shaw Industries Inc.  Patcraft,06/21/2025,-25755.06,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20561,17,1883
Inventory items must have a positive amount.,NSOPENBALBILL865,#N/A,40391,cogs,W-1126,6,2291,,"Shenzhen Double Building Materials Co., Ltd.",11/26/2024,-8454.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20567,17,1889
Inventory items must have a positive amount.,NSOPENBALBILL869,#N/A,40391,cogs,PrePayment  - PO592/NetSuite,28,1541,,Sponge Cushion/L & p Financial Serv,04/07/2025,-862.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20571,17,1890
Inventory items must have a positive amount.,NSOPENBALBILL872,#N/A,40391,cogs,PrePayment  - PO43225/SPS,25,228,,StonePeak Ceramics Inc-30593,06/16/2025,-8548.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20574,17,1892
Inventory items must have a positive amount.,NSOPENBALBILL877,#N/A,40391,cogs,PrePayment  - PO42793/SPS,25,1288,,Tarkett,04/03/2025,-1366.16,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20579,17,1893
Inventory items must have a positive amount.,NSOPENBALBILL878,#N/A,40391,cogs,W-0423,6,1288,,Tarkett,04/23/2025,-325.91,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20580,17,1894
Inventory items must have a positive amount.,NSOPENBALBILL879,#N/A,40391,cogs,27375,5,1289,,TM Leader Contract,07/17/2024,-676.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20581,17,1895
Inventory items must have a positive amount.,NSOPENBALBILL880,#N/A,40391,cogs,PrePayment  - PO45776/NetSuite,30,1289,,TM Leader Contract,01/10/2025,-3083.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20582,17,1896
Inventory items must have a positive amount.,NSOPENBALBILL900,#N/A,40391,cogs,PrePayment  - PO60195/NetSuite,30,1292,,U.S. Vinyl Manufacturing,04/24/2025,-10595.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20602,17,1898
Inventory items must have a positive amount.,NSOPENBALBILL901,#N/A,40391,cogs,PrePayment  - PO60028/NetSuite,30,1292,,U.S. Vinyl Manufacturing,06/18/2025,-10595.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20603,17,1899
Inventory items must have a positive amount.,NSOPENBALBILL902,#N/A,40391,cogs,PrePayment  - PO60340/NetSuite,30,1292,,U.S. Vinyl Manufacturing,06/25/2025,-4881.37,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20604,17,1900
Reference No. 5034680910 is a duplicate for this vendor. Click OK and change Reference No.,NSOPENBALBILL919,#N/A,40391,cogs,5034680910,10,271,,Wells Fargo Equipment Finance Manufacturer Services Group,06/06/2025,622.85,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20621,17,1902
Inventory items must have a positive amount.,NSOPENBALBILL920,#N/A,40391,cogs,PrePayment  - PO60078/NetSuite,30,2646,,WILSONART LLC,06/25/2025,-1508.22,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20622,17,1903
Inventory items must have a positive amount.,NSOPENBALBILL922,#N/A,40391,cogs,W-0528,6,2367,,"WOW USA, Inc.",05/28/2025,-846.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20624,17,1904
Inventory items must have a positive amount.,NSOPENBALBILL927,#N/A,40391,cogs,2025-BILL-030,10,1295,,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",05/02/2025,-18732.54,3,Graniti Vicentia LLC,PrePayment (Import SPS data by Invoice in Netsuite),A20629,17,1906
Inventory items must have a positive amount.,NSOPENBALBILL928,#N/A,40391,cogs,W-1105,6,1296,,YESENYE FURNITURE,11/05/2024,-3983.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20630,17,1907
Inventory items must have a positive amount.,NSOPENBALBILL933,#N/A,40391,cogs,36106,5,1297,,ZBOM Cabinets Crop.,12/19/2024,-18000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20635,17,1909
Inventory items must have a positive amount.,NSOPENBALBILL935,#N/A,40391,cogs,W-0310,6,1297,,ZBOM Cabinets Crop.,03/10/2025,-6266.98,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20637,17,1910
Inventory items must have a positive amount.,NSOPENBALBILL937,#N/A,40391,cogs,Do not know,11,1297,,ZBOM Cabinets Crop.,05/20/2025,-2232.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20639,17,1911
Inventory items must have a positive amount.,NSOPENBALBILL939,#N/A,40391,cogs,Laxmi-0664,10,1297,,ZBOM Cabinets Crop.,06/05/2025,-3747.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20641,17,1912
Inventory items must have a positive amount.,NSOPENBALBILL940,#N/A,40391,cogs,W-0627,6,1297,,ZBOM Cabinets Crop.,06/27/2025,-53156.57,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20642,17,1913
