External ID,SL no,Debit,Account Internal ID,Credit ,credit,Date,Invoice,Customer/vendor,Entity ID,Description,Debit Amt,Credit Amt
AUGREVENUE-37678/7,28,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,37678/7,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,50080.54,
AUGREVENUE-37678/7,28.5,,972,A40001 - Sales Income (New),972,08/12/2025,37678/7,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,50080.54
AUGREVENUE-37683/10,29,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,37683/10,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,50056.76,
AUGREVENUE-37683/10,29.5,,972,A40001 - Sales Income (New),972,08/12/2025,37683/10,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,50056.76
AUGREVENUE-37683/9,30,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,37683/9,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-37683/9,30.5,,972,A40001 - Sales Income (New),972,08/12/2025,37683/9,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-37688/3,31,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,37688/3,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,11383.10,
AUGREVENUE-37688/3,31.5,,972,A40001 - Sales Income (New),972,08/12/2025,37688/3,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,11383.10
AUGREVENUE-37690/2,32,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,37690/2,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,35342.19,
AUGREVENUE-37690/2,32.5,,972,A40001 - Sales Income (New),972,08/12/2025,37690/2,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,35342.19
AUGREVENUE-37697/4,33,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,37697/4,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-37697/4,33.5,,972,A40001 - Sales Income (New),972,08/12/2025,37697/4,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-37698/3,34,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,37698/3,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,2872.00,
AUGREVENUE-37698/3,34.5,,972,A40001 - Sales Income (New),972,08/12/2025,37698/3,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,2872.00
AUGREVENUE-38251/3,35,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38251/3,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,8905.22,
AUGREVENUE-38251/3,35.5,,972,A40001 - Sales Income (New),972,08/12/2025,38251/3,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,8905.22
AUGREVENUE-38251/5,36,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,38251/5,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,177.14,
AUGREVENUE-38251/5,36.5,,972,A40001 - Sales Income (New),972,08/12/2025,38251/5,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,177.14
