External ID,Document Number,Internal ID,Name,Main Line Name,Vendor internal ID,Subsidiary (no hierarchy),Subsidiary ID,Date,Line Description,Location,Loaction ID,Currency,Exchange Rate,Approval Status,Line #,Item,Blue Collar Project,Cost Code,Item Internal ID,Description,Custom UOM,Quantity,Units,Amount
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-203.C Round Night Stand,Houston (GV LLC),2,US Dollar,1,Approved,7,,,,,,,,,342.00
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-208L.C TV Panel,Houston (GV LLC),2,US Dollar,1,Approved,8,,,,,,,,,587.40
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-208L.F1.DPF Vinyl @ TV Panel,Houston (GV LLC),2,US Dollar,1,Approved,9,,,,,,,,,60.00
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-208.C Outlet  --- 2 @ 7.50,Houston (GV LLC),2,US Dollar,1,Approved,10,,,,,,,,,15.00
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-215.C Luggage Bench,Houston (GV LLC),2,US Dollar,1,Approved,11,,,,,,,,,499.50
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-215.F1-DPF Vinyl @ Luggage Bench,Houston (GV LLC),2,US Dollar,1,Approved,12,,,,,,,,,24.00
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-214.C Desk Unit,Houston (GV LLC),2,US Dollar,1,Approved,13,,,,,,,,,403.74
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,"GR-212.C 48"" Bathroom Vanity",Houston (GV LLC),2,US Dollar,1,Approved,14,,,,,,,,,567.00
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,"GR-212.1-CG 18"" Towel Bar @ Bathroom Vanity",Houston (GV LLC),2,US Dollar,1,Approved,15,,,,,,,,,0.00
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,Expedited Shipping,Houston (GV LLC),2,US Dollar,1,Approved,16,,,,,,,,,10.00
PO1247,PO1247,6713,LQ Brownsville,U.S. Vinyl Manufacturing Corp,1292,Graniti Vicentia LLC,3,04/01/2025,"VWC-01 Main Vinyl Wallcovering @ Great Room -- Model Number: 10575/1/, Color/Finish: Roselle",Houston (GV LLC),2,US Dollar,1,Approved,49,Contract Item - LY,LQ Brownsville,Wallcovering,13189,,,150,Linear Yard,706.50
PO1247,PO1247,6713,,U.S. Vinyl Manufacturing Corp,1292,Graniti Vicentia LLC,3,04/01/2025,Freight,Houston (GV LLC),2,US Dollar,1,Approved,1,Delivery Charges,,,6152,,,1,Lump Sum,225.81
