External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,Serial/lot
NSOPENBALBILL715,#N/A,40391,cogs,48449/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,12/04/2024,10276.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20417,CW-052,17,1794
NSOPENBALBILL716,#N/A,40391,cogs,266/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,01/08/2025,13717.17,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20418,CW-053,17,1795
NSOPENBALBILL717,#N/A,40391,cogs,1200/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,01/14/2025,19523.40,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20419,CW-054,17,1796
NSOPENBALBILL718,#N/A,40391,cogs,6262/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,02/18/2025,924.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20420,CW-055,17,1797
NSOPENBALBILL719,#N/A,40391,cogs,7130/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,02/21/2025,17010.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20421,CW-056,17,1798
NSOPENBALBILL720,#N/A,40391,cogs,7266/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,02/24/2025,7572.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20422,CW-057,17,1799
NSOPENBALBILL721,#N/A,40391,cogs,7302/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,02/24/2025,12700.80,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20423,CW-058,17,1800
NSOPENBALBILL722,#N/A,40391,cogs,8906/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,03/05/2025,106.92,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20424,CW-059,17,1801
NSOPENBALBILL723,#N/A,40391,cogs,9937/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,03/12/2025,2482.32,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20425,CW-060,17,1802
NSOPENBALBILL724,#N/A,40391,cogs,15341/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,04/10/2025,13337.65,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20426,CW-061,17,1803
NSOPENBALBILL725,#N/A,40391,cogs,15364/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,04/10/2025,12171.60,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20427,CW-062,17,1804
NSOPENBALBILL726,#N/A,40391,cogs,19542/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,05/08/2025,2116.80,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20428,CW-063,17,1805
NSOPENBALBILL727,#N/A,40391,cogs,21576/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,05/19/2025,6526.80,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20429,CW-064,17,1806
NSOPENBALBILL728,#N/A,40391,cogs,24874/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,06/05/2025,13230.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20430,CW-065,17,1807
NSOPENBALBILL729,#N/A,40391,cogs,24905/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,06/05/2025,13230.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20431,CW-066,17,1808
NSOPENBALBILL730,#N/A,40391,cogs,24802/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,06/05/2025,8467.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20432,CW-067,17,1809
