External ID,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Memo,Location,Bin,Bin ID,SERIAL/LOT NUMBER
NSOPENBALBILL070,40391,cogs,GV2024100-Balance,17,1237,"Cambodian Zulite Stone Co., Ltd.",04/03/2025,3820.32,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1022
NSOPENBALBILL071,40391,cogs,GV2025003-Balance,17,1237,"Cambodian Zulite Stone Co., Ltd.",04/03/2025,5805.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1023
NSOPENBALBILL072,40391,cogs,GV2025007,9,1237,"Cambodian Zulite Stone Co., Ltd.",04/03/2025,6106.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1024
NSOPENBALBILL073,40391,cogs,GV2025009,9,1237,"Cambodian Zulite Stone Co., Ltd.",04/03/2025,17005.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1025
NSOPENBALBILL074,40391,cogs,GV2025010,9,1237,"Cambodian Zulite Stone Co., Ltd.",04/03/2025,9861.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1026
NSOPENBALBILL075,40391,cogs,GV2025011,9,1237,"Cambodian Zulite Stone Co., Ltd.",04/03/2025,12713.89,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1027
NSOPENBALBILL076,40391,cogs,GV2025008,9,1237,"Cambodian Zulite Stone Co., Ltd.",04/06/2025,24828.74,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1028
NSOPENBALBILL077,40391,cogs,GV2025014,9,1237,"Cambodian Zulite Stone Co., Ltd.",04/14/2025,7942.62,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1029
NSOPENBALBILL078,40391,cogs,GV2025012-1&2,13,1237,"Cambodian Zulite Stone Co., Ltd.",04/19/2025,70855.65,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1030
NSOPENBALBILL079,40391,cogs,GV2025012-3&4,13,1237,"Cambodian Zulite Stone Co., Ltd.",05/17/2025,95584.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1031
