External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,serial/lot
NSOPENBALBILL776,#N/A,40391,cogs,W-0606,6,2558,,PADRON FLOORING & DESIGN CENTER,06/06/2025,-3410.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20478,17,1841
NSOPENBALBILL779,#N/A,40391,cogs,"W-0207 $234,289.27",18,1280,,Pantarei,02/07/2024,-52670.48,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20481,17,1842
NSOPENBALBILL780,#N/A,40391,cogs,"W-0215 $140,370.71",18,1280,,Pantarei,02/15/2024,-6000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20482,17,1843
NSOPENBALBILL787,#N/A,40391,cogs,W-06142024,10,1280,,Pantarei,06/14/2024,-12654.21,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20489,17,1844
NSOPENBALBILL789,#N/A,40391,cogs,W-0710,6,1280,,Pantarei,07/10/2024,-79567.09,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20491,17,1845
NSOPENBALBILL790,#N/A,40391,cogs,W-0719,6,1280,,Pantarei,07/19/2024,-125121.71,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20492,17,1846
NSOPENBALBILL791,#N/A,40391,cogs,PrePayment  - PO36504/SPS,25,1280,,Pantarei,08/01/2024,-33.19,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20493,17,1847
NSOPENBALBILL792,#N/A,40391,cogs,W-0920,6,1280,,Pantarei,09/20/2024,-10537.96,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20494,17,1848
NSOPENBALBILL801,#N/A,40391,cogs,W-06072024,10,1333,,Papatya,06/07/2024,-25.90,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20503,17,1849
NSOPENBALBILL802,#N/A,40391,cogs,W-06122024,10,1333,,Papatya,06/12/2024,-55.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20504,17,1850
NSOPENBALBILL804,#N/A,40391,cogs,W-0212,6,1281,,PIERMARIA NEW FORM SRL,02/12/2025,-3110.12,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20506,17,1851
NSOPENBALBILL805,#N/A,40391,cogs,23,2,1281,,PIERMARIA NEW FORM SRL,05/23/2025,-3650.96,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20507,17,1852
NSOPENBALBILL806,#N/A,40391,cogs,PrePayment  - PO60012/NetSuite,30,1690,,Quartz America,05/15/2025,-3949.02,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20508,17,1853
NSOPENBALBILL807,#N/A,40391,cogs,664,3,1690,,Quartz America,06/26/2025,-37735.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20509,17,1854
NSOPENBALBILL812,#N/A,40391,cogs,W-0316,6,1284,,"RAYTOP INDUSTRY CO.,LTD",03/16/2022,-1548.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20514,17,1855
NSOPENBALBILL813,#N/A,40391,cogs,W-0408,6,1284,,"RAYTOP INDUSTRY CO.,LTD",04/08/2022,-5992.38,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20515,17,1856
NSOPENBALBILL814,#N/A,40391,cogs,W-0824,6,1284,,"RAYTOP INDUSTRY CO.,LTD",08/24/2022,-10500.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20516,17,1857
NSOPENBALBILL815,#N/A,40391,cogs,W-0229,6,1284,,"RAYTOP INDUSTRY CO.,LTD",02/29/2024,-4113.66,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20517,17,1858
NSOPENBALBILL817,#N/A,40391,cogs,"W-0710 $121,645.48",18,1285,,RICHWOOD HOSPITALITY CO LTD,07/10/2024,-6064.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20519,17,1859
NSOPENBALBILL819,#N/A,40391,cogs,PrePayment  - PO43955/SPS,25,1285,,RICHWOOD HOSPITALITY CO LTD,10/24/2024,-822.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20521,17,1860
NSOPENBALBILL820,#N/A,40391,cogs,W-1030,6,1285,,RICHWOOD HOSPITALITY CO LTD,10/30/2024,-6209.82,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20522,17,1861
NSOPENBALBILL821,#N/A,40391,cogs,W-1108,6,1285,,RICHWOOD HOSPITALITY CO LTD,11/08/2024,-15649.85,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20523,17,1862
NSOPENBALBILL822,#N/A,40391,cogs,W-1118,6,1285,,RICHWOOD HOSPITALITY CO LTD,11/18/2024,-13308.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20524,17,1863
NSOPENBALBILL823,#N/A,40391,cogs,41403,5,1285,,RICHWOOD HOSPITALITY CO LTD,12/16/2024,-10885.61,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20525,17,1864
NSOPENBALBILL824,#N/A,40391,cogs,W-1219,6,1285,,RICHWOOD HOSPITALITY CO LTD,12/19/2024,-534.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20526,17,1865
NSOPENBALBILL825,#N/A,40391,cogs,PrePayment  - PO1262/NetSuite,29,1285,,RICHWOOD HOSPITALITY CO LTD,12/31/2024,-3289.33,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20527,17,1866
NSOPENBALBILL826,#N/A,40391,cogs,W-0108,6,1285,,RICHWOOD HOSPITALITY CO LTD,01/08/2025,-24479.56,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20528,17,1867
NSOPENBALBILL827,#N/A,40391,cogs,W-0113,6,1285,,RICHWOOD HOSPITALITY CO LTD,01/13/2025,-7767.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20529,17,1868
NSOPENBALBILL831,#N/A,40391,cogs,W-0205,6,1285,,RICHWOOD HOSPITALITY CO LTD,02/05/2025,-6334.41,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20533,17,1869
NSOPENBALBILL833,#N/A,40391,cogs,W-0307,6,1285,,RICHWOOD HOSPITALITY CO LTD,03/07/2025,-202669.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20535,17,1870
NSOPENBALBILL834,#N/A,40391,cogs,W-0318,6,1285,,RICHWOOD HOSPITALITY CO LTD,03/18/2025,-21158.72,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20536,17,1871
NSOPENBALBILL835,#N/A,40391,cogs,W-0320,6,1285,,RICHWOOD HOSPITALITY CO LTD,03/20/2025,-56281.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20537,17,1872
NSOPENBALBILL838,#N/A,40391,cogs,W-0407,6,1285,,RICHWOOD HOSPITALITY CO LTD,04/07/2025,-12376.54,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20540,17,1873
NSOPENBALBILL840,#N/A,40391,cogs,ocean freight cost SR411-14P2,29,1285,,RICHWOOD HOSPITALITY CO LTD,05/07/2025,446.52,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20542,17,1874
NSOPENBALBILL841,#N/A,40391,cogs,"SR173-5C,SR173-5K,SR382-3",25,1285,,RICHWOOD HOSPITALITY CO LTD,05/10/2025,2600.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20543,17,1875
NSOPENBALBILL843,#N/A,40391,cogs,W-0514,6,1285,,RICHWOOD HOSPITALITY CO LTD,05/14/2025,-31608.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20545,17,1876
NSOPENBALBILL848,#N/A,40391,cogs,W-0523,6,1285,,RICHWOOD HOSPITALITY CO LTD,05/23/2025,-72560.62,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20550,17,1877
NSOPENBALBILL850,#N/A,40391,cogs,W-0206,6,1285,,RICHWOOD HOSPITALITY CO LTD,06/02/2025,-2315.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20552,17,1878
NSOPENBALBILL851,#N/A,40391,cogs,W-0618,6,1285,,RICHWOOD HOSPITALITY CO LTD,06/18/2025,-83018.27,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20553,17,1879
NSOPENBALBILL856,#N/A,40391,cogs,999184577,9,1964,,Shaw Industries Inc.  Patcraft,04/29/2025,42908.51,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20558,17,1880
NSOPENBALBILL857,#N/A,40391,cogs,999184610,9,1964,,Shaw Industries Inc.  Patcraft,04/30/2025,36626.66,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20559,17,1881
NSOPENBALBILL858,#N/A,40391,cogs,999185188,9,1964,,Shaw Industries Inc.  Patcraft,05/14/2025,20833.87,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20560,17,1882
NSOPENBALBILL859,#N/A,40391,cogs,W-0621,6,1964,,Shaw Industries Inc.  Patcraft,06/21/2025,-25755.06,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20561,17,1883
NSOPENBALBILL860,#N/A,40391,cogs,999186726,9,1964,,Shaw Industries Inc.  Patcraft,06/26/2025,39437.82,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20562,17,1884
NSOPENBALBILL861,#N/A,40391,cogs,999151243,9,1964,,Shaw Integrated Solutions,09/14/2023,5203.87,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20563,17,1885
NSOPENBALBILL862,#N/A,40391,cogs,999184573,9,1964,,Shaw Integrated Solutions,04/29/2025,23854.80,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20564,17,1886
NSOPENBALBILL863,#N/A,40391,cogs,999184575,9,1964,,Shaw Integrated Solutions,04/29/2025,7005.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20565,17,1887
NSOPENBALBILL864,#N/A,40391,cogs,999185190,9,1964,,Shaw Integrated Solutions,05/14/2025,21384.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20566,17,1888
NSOPENBALBILL865,#N/A,40391,cogs,W-1126,6,2291,,"Shenzhen Double Building Materials Co., Ltd.",11/26/2024,-8454.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20567,17,1889
NSOPENBALBILL869,#N/A,40391,cogs,PrePayment  - PO592/NetSuite,28,1541,,Sponge Cushion/L & p Financial Serv,04/07/2025,-862.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20571,17,1890
NSOPENBALBILL871,#N/A,40391,cogs,23012784,8,228,,StonePeak Ceramics Inc-30593,03/22/2024,941.94,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20573,17,1891
NSOPENBALBILL872,#N/A,40391,cogs,PrePayment  - PO43225/SPS,25,228,,StonePeak Ceramics Inc-30593,06/16/2025,-8548.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20574,17,1892
NSOPENBALBILL877,#N/A,40391,cogs,PrePayment  - PO42793/SPS,25,1288,,Tarkett,04/03/2025,-1366.16,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20579,17,1893
NSOPENBALBILL878,#N/A,40391,cogs,W-0423,6,1288,,Tarkett,04/23/2025,-325.91,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20580,17,1894
NSOPENBALBILL879,#N/A,40391,cogs,27375,5,1289,,TM Leader Contract,07/17/2024,-676.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20581,17,1895
NSOPENBALBILL880,#N/A,40391,cogs,PrePayment  - PO45776/NetSuite,30,1289,,TM Leader Contract,01/10/2025,-3083.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20582,17,1896
NSOPENBALBILL899,#N/A,40391,cogs,39753 - pi,10,1292,,U.S. Vinyl,08/01/2024,720.82,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20601,17,1897
NSOPENBALBILL900,#N/A,40391,cogs,PrePayment  - PO60195/NetSuite,30,1292,,U.S. Vinyl Manufacturing,04/24/2025,-10595.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20602,17,1898
NSOPENBALBILL901,#N/A,40391,cogs,PrePayment  - PO60028/NetSuite,30,1292,,U.S. Vinyl Manufacturing,06/18/2025,-10595.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20603,17,1899
NSOPENBALBILL902,#N/A,40391,cogs,PrePayment  - PO60340/NetSuite,30,1292,,U.S. Vinyl Manufacturing,06/25/2025,-4881.37,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20604,17,1900
NSOPENBALBILL917,#N/A,40391,cogs,247514092,9,261,,United Rentals,05/02/2025,927.45,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20619,17,1901
NSOPENBALBILL919,#N/A,40391,cogs,5034680910,10,271,,Wells Fargo Equipment Finance Manufacturer Services Group,06/06/2025,622.85,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20621,17,1902
NSOPENBALBILL920,#N/A,40391,cogs,PrePayment  - PO60078/NetSuite,30,2646,,WILSONART LLC,06/25/2025,-1508.22,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20622,17,1903
NSOPENBALBILL922,#N/A,40391,cogs,W-0528,6,2367,,"WOW USA, Inc.",05/28/2025,-846.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20624,17,1904
NSOPENBALBILL923,#N/A,40391,cogs,2062025,7,1951,,WRIGHT EXPRESS FINANCIAL SERVICES CORPORATION/Exxon,02/06/2025,243.34,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20625,17,1905
NSOPENBALBILL927,#N/A,40391,cogs,2025-BILL-030,10,1295,,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",05/02/2025,-18732.54,3,Graniti Vicentia LLC,PrePayment (Import SPS data by Invoice in Netsuite),A20629,17,1906
NSOPENBALBILL928,#N/A,40391,cogs,W-1105,6,1296,,YESENYE FURNITURE,11/05/2024,-3983.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20630,17,1907
NSOPENBALBILL932,#N/A,40391,cogs,2025-BILL-029,45,1297,,ZBOM Cabinets Crop.,10/01/2024,2518.16,3,Graniti Vicentia LLC,"ZB202405009USA, ZB202407028USA,ZB202405043USA (Import SPS data by Invoice in Netsuite)",A20634,17,1908
NSOPENBALBILL933,#N/A,40391,cogs,36106,5,1297,,ZBOM Cabinets Crop.,12/19/2024,-18000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20635,17,1909
NSOPENBALBILL935,#N/A,40391,cogs,W-0310,6,1297,,ZBOM Cabinets Crop.,03/10/2025,-6266.98,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20637,17,1910
NSOPENBALBILL937,#N/A,40391,cogs,Do not know,11,1297,,ZBOM Cabinets Crop.,05/20/2025,-2232.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20639,17,1911
NSOPENBALBILL939,#N/A,40391,cogs,Laxmi-0664,10,1297,,ZBOM Cabinets Crop.,06/05/2025,-3747.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20641,17,1912
NSOPENBALBILL940,#N/A,40391,cogs,W-0627,6,1297,,ZBOM Cabinets Crop.,06/27/2025,-53156.57,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20642,17,1913
