External ID,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Vendor Name,Date,New Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Location,Bin,Bin ID,SERIAL/LOT NUMBER
NSOPENVENCREDIT032,40391,cogs,W-0817,6,168,MELLOWLAND FURNISHING INC,08/17/2023,8/17/2023,513.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1510
NSOPENVENCREDIT033,40391,cogs,W-0116,6,168,MELLOWLAND FURNISHING INC,01/16/2024,1/16/2024,102.74,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1511
NSOPENVENCREDIT034,40391,cogs,824013041 - PF,14,1971,Momentum Group,11-06-2024,11/06/2024,44.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1543
NSOPENVENCREDIT035,40391,cogs,W-0403,6,1971,Momentum Group,04-03-2025,04/03/2025,16583.29,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1544
NSOPENVENCREDIT036,40391,cogs,W-0513,6,1971,Momentum Group,05/13/2025,5/13/2025,532.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1545
NSOPENVENCREDIT037,40391,cogs,W-0604,6,1971,Momentum Group,06-04-2025,06/04/2025,578.51,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1546
NSOPENVENCREDIT038,40391,cogs,W-0609,6,1971,Momentum Group,06-09-2025,06/09/2025,533.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1547
NSOPENVENCREDIT039,40391,cogs,W11262024,9,1274,Muraspec Decorative Solutions Limited/Barclays,11/26/2024,11/26/2024,8993.46,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1549
NSOPENVENCREDIT040,40391,cogs,37810B,6,1276,Natucer Ceramica,11-07-2024,11/07/2024,0.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1551
NSOPENVENCREDIT041,40391,cogs,W-0606,6,2558,PADRON FLOORING & DESIGN CENTER,06-06-2025,06/06/2025,3410.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1553
NSOPENVENCREDIT042,40391,cogs,"W-0207 234,289.27",17,1280,Pantarei,02-07-2024,02/07/2024,52670.48,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1556
NSOPENVENCREDIT043,40391,cogs,"W-0215 140,370.71",17,1280,Pantarei,02/15/2024,2/15/2024,6000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1557
NSOPENVENCREDIT044,40391,cogs,W-06142024,10,1280,Pantarei,06/14/2024,6/14/2024,12654.21,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1564
NSOPENVENCREDIT045,40391,cogs,W-0710,6,1280,Pantarei,07-10-2024,07/10/2024,79567.09,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1566
NSOPENVENCREDIT046,40391,cogs,W-0719,6,1280,Pantarei,07/19/2024,7/19/2024,125121.71,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1567
NSOPENVENCREDIT047,40391,cogs,W-0920,6,1280,Pantarei,09/20/2024,9/20/2024,10537.96,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1568
NSOPENVENCREDIT048,40391,cogs,W-06072024,10,1333,Papatya,06-07-2024,06/07/2024,25.90,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1577
NSOPENVENCREDIT049,40391,cogs,W-06122024,10,1333,Papatya,06-12-2024,06/12/2024,55.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1578
NSOPENVENCREDIT050,40391,cogs,W-0212,6,1281,PIERMARIA NEW FORM SRL,02-12-2025,02/12/2025,3110.12,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1579
