External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Account ID
NSOPENBALBILL470,40391,cogs,24JSF06042,137,"Jasfer Industry Co., Limited",08/23/2024,"$5,349.68",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL471,40391,cogs,24JSF07071,137,"Jasfer Industry Co., Limited",09/01/2024,"$2,341.47",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL472,40391,cogs,23RT110301,137,"Jasfer Industry Co., Limited",09/03/2024,$708.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL473,40391,cogs,24RT041801,137,"Jasfer Industry Co., Limited",09/15/2024,"$2,375.12",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL474,40391,cogs,24JSF05041,137,"Jasfer Industry Co., Limited",09/19/2024,$485.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL475,40391,cogs,24JSF08034,137,"Jasfer Industry Co., Limited",09/19/2024,"$2,091.25",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL476,40391,cogs,24JSF09040,137,"Jasfer Industry Co., Limited",09/21/2024,$80.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL477,40391,cogs,24JSF09049,137,"Jasfer Industry Co., Limited",09/25/2024,$153.41,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL478,40391,cogs,24JSF08003,137,"Jasfer Industry Co., Limited",09/28/2024,"$6,886.20",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL479,40391,cogs,24JSF08026A,137,"Jasfer Industry Co., Limited",09/28/2024,"$10,405.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL480,40391,cogs,24JSF08041,137,"Jasfer Industry Co., Limited",09/28/2024,"$10,000.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL481,40391,cogs,24BL060401,137,"Jasfer Industry Co., Limited",10/01/2024,"$23,880.22",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL482,40391,cogs,24JS082101,137,"Jasfer Industry Co., Limited",10/01/2024,"$14,299.59",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL483,40391,cogs,24RT052801,137,"Jasfer Industry Co., Limited",10/01/2024,"$7,229.39",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL484,40391,cogs,24RT082701,137,"Jasfer Industry Co., Limited",10/01/2024,"$18,951.66",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL485,40391,cogs,24RT082801,137,"Jasfer Industry Co., Limited",10/01/2024,"$2,197.97",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL486,40391,cogs,24JSF02004,137,"Jasfer Industry Co., Limited",10/01/2024,"$12,724.34",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL487,40391,cogs,24JSF06001,137,"Jasfer Industry Co., Limited",10/01/2024,"$8,069.66",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL488,40391,cogs,24JSF08032,137,"Jasfer Industry Co., Limited",10/01/2024,$750.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL489,40391,cogs,24JSF05006,137,"Jasfer Industry Co., Limited",10/02/2024,$305.83,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL490,40391,cogs,7.77E+11,137,"Jasfer Industry Co., Limited",10/02/2024,"$4,332.32",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL491,40391,cogs,W-1008,137,"Jasfer Industry Co., Limited",10/08/2024,"-$1,069.62",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL492,40391,cogs,24JSF06028,137,"Jasfer Industry Co., Limited",10/12/2024,$708.66,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL493,40391,cogs,24JSF07049,137,"Jasfer Industry Co., Limited",10/12/2024,"$2,763.18",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL494,40391,cogs,24JSF07075,137,"Jasfer Industry Co., Limited",10/12/2024,"$3,599.13",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
