NSOPENBALBILL111,40391,cogs,"337, 343, 376, 552",18,1253,GIBAM SHOPS SPA,09/29/2023,09/29/2023,2121.17,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL112,40391,cogs,2023/FE/0000353,15,1253,GIBAM SHOPS SPA,10-05-2023,05/10/2023,113.05,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL113,40391,cogs,"357, 358, 359",13,1253,GIBAM SHOPS SPA,10/17/2023,10/17/2023,28363.48,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL114,40391,cogs,2023/FE/0000360,15,1253,GIBAM SHOPS SPA,10/19/2023,10/19/2023,2026.26,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL115,40391,cogs,2023/FE/0000361,15,1253,GIBAM SHOPS SPA,10/19/2023,10/19/2023,8549.34,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL116,40391,cogs,2023/FE/0000362,15,1253,GIBAM SHOPS SPA,10/19/2023,10/19/2023,474.15,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL117,40391,cogs,2023/FE/0000363,15,1253,GIBAM SHOPS SPA,10/19/2023,10/19/2023,499.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL118,40391,cogs,2023/FE/0000371,15,1253,GIBAM SHOPS SPA,10/24/2023,10/24/2023,1315.54,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL119,40391,cogs,2023/FE/0000373,15,1253,GIBAM SHOPS SPA,10/26/2023,10/26/2023,617.38,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL121,40391,cogs,2023/FE/0000394,15,1253,GIBAM SHOPS SPA,11-02-2023,02/11/2023,98.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL122,40391,cogs,2023/FE/0000395,15,1253,GIBAM SHOPS SPA,11-02-2023,02/11/2023,128.39,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL123,40391,cogs,2023/FE/0000396,15,1253,GIBAM SHOPS SPA,11-02-2023,02/11/2023,105.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL125,40391,cogs,2023/FE/0000418,15,1253,GIBAM SHOPS SPA,11/16/2023,11/16/2023,464.73,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL126,40391,cogs,2023/FE/0000420,15,1253,GIBAM SHOPS SPA,11/16/2023,11/16/2023,4017.52,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
