External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,serial/lot number,Location 
NSOPENBALBILL086,#N/A,40391,cogs,W-0529,2506,Daltile,Dal Tile,05/29/2025,-22712.79,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-041,17,1700,2
NSOPENBALBILL087,#N/A,40391,cogs,32988 - Invoice,1243,Durkan Patterned Carpet,Durkan Carpet,06/30/2025,23564.84,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-042,17,1701,2
NSOPENBALBILL091,#N/A,40391,cogs,W-0530,2660,,F.B. STONES S.R.L.,05/30/2025,-19276.89,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-043,17,1702,2
NSOPENBALBILL092,#N/A,40391,cogs,1416,1247,"Fabricut, Inc.",Fabricut Contract /S.Harris,06/05/2025,-640.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-044,17,1703,2
NSOPENBALBILL093,#N/A,40391,cogs,22533248-E,1248,Fama Sofas S.L.U,Fama,05/13/2025,35965.88,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-045,17,1704,2
NSOPENBALBILL094,#N/A,40391,cogs,22533263-E,1248,Fama Sofas S.L.U,Fama,05/14/2025,32758.78,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-046,17,1705,2
NSOPENBALBILL095,#N/A,40391,cogs,22533488-E,1248,Fama Sofas S.L.U,Fama,05/23/2025,33688.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-047,17,1706,2
NSOPENBALBILL096,#N/A,40391,cogs,22533489-E,1248,Fama Sofas S.L.U,Fama,05/26/2025,16217.56,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-048,17,1707,2
NSOPENBALBILL097,#N/A,40391,cogs,22533845-E,1248,Fama Sofas S.L.U,Fama,06/05/2025,32463.58,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-049,17,1708,2
NSOPENBALBILL098,#N/A,40391,cogs,22534127-E,1248,Fama Sofas S.L.U,Fama,06/18/2025,54631.84,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-050,17,1709,2
