External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account
NSOPENBALBILL887,40392,freight,0587016-3,253,U.S. CUSTOMS AND BORDER PROTECTION,02-28-25,$135.34,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL888,40392,freight,0587015-5,253,U.S. CUSTOMS AND BORDER PROTECTION,02-28-25,$279.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL889,40392,freight,0587023-9,253,U.S. CUSTOMS AND BORDER PROTECTION,03-07-2025,$78.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL890,40392,freight,0616587-3,253,U.S. CUSTOMS AND BORDER PROTECTION,03-11-2025,"$3,260.63",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL891,40392,freight,3/24/2025,253,U.S. CUSTOMS AND BORDER PROTECTION,03-24-25,"-$5,411.46",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL892,40392,freight,0587015-5 & 0587016-3,253,U.S. CUSTOMS AND BORDER PROTECTION,03-24-25,-$415.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL893,40392,freight,0618535-01,253,U.S. CUSTOMS AND BORDER PROTECTION,03-24-25,-$32.71,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL894,40392,freight,EKH-0898744-1,253,U.S. CUSTOMS AND BORDER PROTECTION,03-24-25,-$32.71,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL895,40392,freight,0587014-8 & 0587023-9,253,U.S. CUSTOMS AND BORDER PROTECTION,03-24-25,-$209.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL896,40392,freight,EKH-1006587-1,253,U.S. CUSTOMS AND BORDER PROTECTION,04-30-25,"$2,599.95",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL897,40392,freight,0624426-4,253,U.S. CUSTOMS AND BORDER PROTECTION,06-16-25,"$9,057.02",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL898,40392,freight,06/24/2025,253,U.S. CUSTOMS AND BORDER PROTECTION,06-24-25,"-$48,626.44",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL900,40391,cogs,PrePayment  - PO60195/NetSuite,1292,U.S. Vinyl Manufacturing,04-24-25,"-$10,595.30",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL901,40391,cogs,PrePayment  - PO60028/NetSuite,1292,U.S. Vinyl Manufacturing,06-18-25,"-$10,595.30",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL902,40391,cogs,PrePayment  - PO60340/NetSuite,1292,U.S. Vinyl Manufacturing,06-25-25,"-$4,881.37",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL903,40391,cogs,188009241,255,Uline,01-16-25,$827.38,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL904,40391,cogs,188009476,255,Uline,01-16-25,$767.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL905,40391,cogs,188169574,255,Uline,01-21-25,$620.59,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL906,40391,cogs,188248104,255,Uline,01-22-25,$767.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL907,40391,cogs,194719434,255,Uline,06-27-25,$226.80,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL908,40391,cogs,1343718,1291,Uniik Design Solutions,03-17-25,"$4,309.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL909,40391,cogs,1253518,1291,Uniik Design Solutions,06-19-25,"$5,340.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL910,40391,cogs,33048,258,"Unite Oak International,Inc.",06-30-25,"$3,220.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL918,40391,cogs,SR411-9_4th,1335,VEI MAY WOODEN APPLIANCES COMPANY LIMITED,07-29-24,"$6,064.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL920,40391,cogs,PrePayment  - PO60078/NetSuite,2646,WILSONART LLC,06-25-25,"-$1,508.22",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL921,40391,cogs,41279,2367,"WOW USA, Inc.",03-24-25,"$3,171.30",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL922,40391,cogs,W-0528,2367,"WOW USA, Inc.",05-28-25,-$846.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL924,40391,cogs,33229323,276,WYNDHAM HOTELS & RESORTS INC,10-31-24,"$5,000.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL925,40391,cogs,GV2024087-B,1295,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",12-20-24,$0.45,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL926,40391,cogs,GV2024066-D,1295,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",04-17-25,$925.76,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL927,40391,cogs,PrePayment ,1295,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",05-02-2025,"-$18,732.54",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL929,40391,cogs,ZB202305011USA,1297,ZBOM Cabinets Crop.,04-01-2024,"$7,592.08",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL930,40391,cogs,ZB202304012USA,1297,ZBOM Cabinets Crop.,04-10-2024,"$4,224.98",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL931,40391,cogs,ZB202406008USA,1297,ZBOM Cabinets Crop.,08-26-24,"$2,255.20",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL932,40391,cogs,"ZB202405009USA, ZB202407028USA,ZB202405043USA",1297,ZBOM Cabinets Crop.,10-01-2024,"$2,518.16",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL933,40391,cogs,36106,1297,ZBOM Cabinets Crop.,12-19-24,"-$18,000.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL934,40391,cogs,ZB202405015USA,1297,ZBOM Cabinets Crop.,01-01-2025,"$8,650.52",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL935,40391,cogs,W-0310,1297,ZBOM Cabinets Crop.,03-10-2025,"-$6,266.98",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL936,40391,cogs,ZB202407028USA-1,1297,ZBOM Cabinets Crop.,03-14-25,"$3,635.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL937,40391,cogs,Do not know,1297,ZBOM Cabinets Crop.,05-20-25,"-$2,232.30",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL938,40391,cogs,ZB202503027USA,1297,ZBOM Cabinets Crop.,06-03-2025,"$6,368.57",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL939,40391,cogs,Laxmi-0664,1297,ZBOM Cabinets Crop.,06-05-2025,"-$3,747.42",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL940,40391,cogs,W-0627,1297,ZBOM Cabinets Crop.,06-27-25,"-$53,156.57",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL941,40391,cogs,ZB202406008USA-5,1297,ZBOM Cabinets Crop.,06-30-25,"$94,586.14",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL942,40391,cogs,ZB202410026USA,1297,ZBOM Cabinets Crop.,06-30-25,"$25,748.92",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
